user_id,product_id,rating,clicks,views,purchases
47,11,1,5,45,0
70,4,4,5,47,0
75,7,1,9,16,0
61,10,2,2,13,0
94,13,1,2,19,0
46,19,5,4,20,0
74,5,4,5,26,0
39,18,3,0,24,0
70,9,4,8,31,1
89,4,5,7,44,0
86,7,3,6,28,0
10,16,2,8,13,0
73,13,4,7,43,0
57,4,2,0,27,0
15,18,3,3,24,0
71,10,2,7,14,0
58,18,5,2,23,0
88,17,3,2,25,1
12,9,1,1,4,0
71,1,1,7,34,0
43,9,1,0,34,0
70,2,1,9,21,0
22,16,1,1,10,0
51,7,4,7,47,0
60,10,3,2,49,0
7,20,2,3,46,0
15,8,5,5,28,0
40,17,2,8,3,1
97,10,4,2,6,0
23,18,3,2,5,1
12,10,4,8,36,0
72,9,2,9,20,0
2,7,3,2,27,0
40,6,1,0,8,0
48,11,5,3,30,0
19,9,4,6,16,1
21,13,2,3,28,0
95,5,1,2,33,0
20,2,2,4,35,0
93,9,4,5,6,0
44,11,2,8,21,0
86,3,4,9,48,0
90,1,5,2,34,0
47,18,2,8,23,0
22,17,5,2,33,0
16,2,2,2,40,0
47,7,1,3,1,0
87,3,4,9,25,0
15,3,1,4,46,0
100,12,1,6,9,0
77,15,2,2,33,0
91,2,4,4,8,0
19,14,3,3,49,0
88,14,2,5,23,0
83,14,3,2,42,0
28,20,5,6,14,0
19,15,4,7,38,0
36,8,1,8,33,0
89,14,3,4,35,0
78,9,4,3,28,0
86,9,5,0,48,0
35,11,2,4,21,0
20,5,3,0,9,1
68,3,1,1,24,1
8,13,4,5,12,0
15,9,3,9,29,0
21,19,4,8,29,0
55,7,4,3,22,0
67,12,2,7,34,0
1,8,1,1,17,0
6,8,3,9,1,0
99,8,3,3,49,0
49,14,1,7,43,0
97,7,5,4,49,0
54,9,1,7,37,0
17,19,3,6,41,0
64,11,3,0,40,0
76,8,5,4,45,0
33,13,2,6,28,0
8,14,5,6,49,0
82,18,2,3,30,0
36,18,5,2,47,0
84,17,1,9,15,0
2,9,2,1,11,0
14,18,3,5,9,0
28,3,4,5,27,0
93,6,3,7,2,0
12,3,3,0,45,0
85,17,1,6,24,0
28,11,2,3,35,0
73,6,2,1,32,0
28,12,1,6,40,0
32,4,4,0,24,0
56,5,4,4,1,0
20,19,5,9,18,0
43,15,3,0,49,0
69,8,2,3,12,0
31,4,1,1,5,0
88,3,3,3,26,0
64,10,3,1,6,0
15,10,5,9,37,1
35,6,4,1,9,1
77,15,4,0,45,1
22,4,5,4,41,0
34,13,5,6,3,0
32,13,3,9,49,0
21,12,3,6,4,0
92,3,5,1,11,0
17,3,4,1,40,0
24,19,5,6,21,0
5,17,5,3,19,0
91,2,3,5,45,0
21,11,4,4,17,0
41,14,2,5,17,1
26,16,4,3,32,0
55,4,3,0,24,0
27,11,1,2,17,0
78,18,4,2,47,0
4,7,5,2,48,1
72,20,5,0,17,0
96,8,3,5,3,0
13,15,5,6,16,0
22,11,3,5,10,0
21,16,4,1,41,0
56,15,3,2,8,1
71,7,3,0,36,0
1,15,5,7,8,0
73,1,4,2,2,0
23,9,2,3,30,0
75,3,3,1,45,1
16,2,1,6,34,0
16,6,4,1,2,0
56,15,4,1,39,0
87,14,3,5,29,0
39,1,1,8,30,1
21,19,5,2,25,0
81,10,2,3,8,0
20,18,2,3,24,0
30,4,5,6,8,0
31,14,2,1,34,0
76,17,1,0,29,0
96,6,1,6,24,0
41,6,5,8,29,1
65,11,3,8,27,0
68,4,2,2,13,0
70,16,4,2,37,0
87,1,4,8,10,0
85,11,5,4,33,0
11,17,4,8,30,0
84,19,3,4,42,0
48,7,4,8,35,0
18,14,3,8,7,0
82,5,5,3,31,0
9,9,3,5,22,0
87,13,5,1,9,0
7,4,2,2,28,1
44,8,1,3,21,0
99,13,1,0,10,0
47,10,5,4,38,0
86,17,4,9,35,0
17,12,4,7,29,0
